repo_id,nombre,descripcion,lenguaje,stars,forks,topics,fecha_creacion,ultimo_commit,url
287463830,microsoft/qlib,"Qlib is an AI-oriented Quant investment platform that aims to use AI tech to empower Quant Research, from exploring ideas to implementing productions. Qlib supports diverse ML modeling paradigms, including supervised learning, market dynamics modeling, and RL, and is now equipped with https://github.com/microsoft/RD-Agent to automate R&D process.",Python,41177,6490,"['quantitative-finance', 'machine-learning', 'stock-data', 'platform', 'finance', 'algorithmic-trading', 'python', 'investment', 'quant', 'quantitative-trading', 'quant-dataset', 'quant-models', 'auto-quant', 'fintech', 'research-paper', 'paper', 'research', 'deep-learning']",2020-08-14 06:46:00+00:00,2026-04-22 07:08:01+00:00,https://github.com/microsoft/qlib
151619717,google-research/google-research,Google Research,Jupyter Notebook,37781,8395,"['machine-learning', 'ai', 'research']",2018-10-04 18:42:48+00:00,2026-04-23 17:29:59+00:00,https://github.com/google-research/google-research
170544934,hudson-and-thames/mlfinlab,"MlFinLab helps portfolio managers and traders who want to leverage the power of machine learning by providing reproducible, interpretable, and easy to use tools. ",Python,4689,1249,"['machine-learning', 'trading', 'investing', 'research', 'finance', 'python', 'algorithmic-trading', 'quantitative-finance', 'financial-machine-learning', 'portfolio-management', 'portfolio-optimization']",2019-02-13 16:57:25+00:00,2023-10-02 03:05:19+00:00,https://github.com/hudson-and-thames/mlfinlab
145385156,catalyst-team/catalyst,Accelerated deep learning R&D,Python,3376,400,"['deep-learning', 'reinforcement-learning', 'machine-learning', 'computer-vision', 'pytorch', 'python', 'distributed-computing', 'infrastructure', 'research', 'reproducibility', 'image-processing', 'image-classification', 'image-segmentation', 'object-detection', 'natural-language-processing', 'text-classification', 'text-segmentation', 'information-retrieval', 'recommender-system', 'metric-learning']",2018-08-20 07:56:13+00:00,2025-06-27 02:59:05+00:00,https://github.com/catalyst-team/catalyst
100402731,ybayle/awesome-deep-learning-music,List of articles related to deep learning applied to music,TeX,2957,342,"['awesome', 'awesome-list', 'unicorns', 'list', 'lists', 'resources', 'deeplearning', 'deep-learning', 'deep-neural-networks', 'neural-network', 'neural-networks', 'music', 'music-information-retrieval', 'audio', 'audio-processing', 'article', 'music-genre-classification', 'bib', 'machine-learning', 'research']",2017-08-15 17:36:33+00:00,2023-12-15 16:51:26+00:00,https://github.com/ybayle/awesome-deep-learning-music
425298533,louisfb01/best_AI_papers_2021,"A  curated list of the latest breakthroughs in AI (in 2021) by release date with a clear video explanation, link to a more in-depth article, and code.",,2908,239,"['ai', 'artificial-intelligence', 'machine-learning', 'deep-learning', 'research', 'research-paper', 'paper', 'papers', 'computer-vision', 'computer-science', 'innovation', 'sota', 'state-of-the-art', 'state-of-art', '2021', 'technology', 'sota-technique', 'python', 'artificialintelligence', 'machinelearning']",2021-11-06 16:55:30+00:00,2023-10-18 11:46:35+00:00,https://github.com/louisfb01/best_AI_papers_2021
280932109,AakashKumarNain/annotated_research_papers,This repo contains annotated research papers that I found really good and useful,,2777,269,"['research', 'research-paper', 'annotations', 'machine-learning', 'deep-learning']",2020-07-19 19:05:19+00:00,2026-04-19 11:05:59+00:00,https://github.com/AakashKumarNain/annotated_research_papers
307222796,MaximeVandegar/Papers-in-100-Lines-of-Code,Implementation of papers in 100 lines of code.,Python,2742,245,"['python', 'research', 'deep-learning', 'machine-learning', 'implementation-of-research-paper', 'educational', 'pytorch', 'papers', 'generative-model', 'inverse-rendering', 'nerf', 'artificial-intelligence', 'gans', 'aes', '3d', 'meta-learning', 'neural-radiance-fields', 'reinforcement-learning', 'rl', 'diffusion-models']",2020-10-26 00:36:09+00:00,2026-04-08 19:27:17+00:00,https://github.com/MaximeVandegar/Papers-in-100-Lines-of-Code
274497109,unsplash/datasets,"🎁  6,500,000+ Unsplash images made available for research and machine learning",Jupyter Notebook,2707,137,"['dataset', 'images', 'unsplash', 'machine-learning', 'research', 'data', 'search-engine', 'keywords', 'photos', 'semantics']",2020-06-23 19:58:19+00:00,2025-04-17 13:22:34+00:00,https://github.com/unsplash/datasets
146321178,unslothai/hyperlearn,"2-2000x faster ML algos, 50% less memory usage, works on all hardware - new and old.",Jupyter Notebook,2439,158,"['machine-learning', 'python', 'statistics', 'scikit-learn', 'statsmodels', 'pytorch', 'deep-learning', 'data-science', 'data-analysis', 'regression-models', 'econometrics', 'tensor', 'neural-network', 'gpu', 'research', 'optimization']",2018-08-27 16:00:47+00:00,2024-11-19 02:09:54+00:00,https://github.com/unslothai/hyperlearn
