model,query_idx,query_repo,relevant_candidates,Precision@10,Recall@10,MAP@10,NDCG@10
Popularity baseline,15,keras-team/keras,900,0.3,0.0033333333333333335,0.12083333333333332,0.2742654694553681
Popularity baseline,19,ageitgey/face_recognition,954,0.5,0.005241090146750524,0.2595238095238095,0.4553242592576836
Popularity baseline,28,gradio-app/gradio,572,0.2,0.0034965034965034965,0.05833333333333333,0.17947710508581735
Popularity baseline,41,TheAlgorithms/C-Plus-Plus,755,0.3,0.003973509933774834,0.09940476190476191,0.25284102718517737
Popularity baseline,52,iperov/DeepFaceLive,728,0.3,0.004120879120879121,0.09940476190476191,0.25284102718517737
Popularity baseline,53,JaidedAI/EasyOCR,832,0.3,0.003605769230769231,0.12083333333333332,0.2742654694553681
Popularity baseline,54,donnemartin/data-science-ipython-notebooks,679,0.2,0.0029455081001472753,0.05833333333333333,0.17947710508581735
Popularity baseline,61,fastai/fastai,792,0.3,0.003787878787878788,0.12083333333333332,0.2742654694553681
Popularity baseline,63,mozilla/DeepSpeech,653,0.2,0.0030627871362940277,0.05833333333333333,0.17947710508581735
Popularity baseline,64,terryum/awesome-deep-learning-papers,458,0.2,0.004366812227074236,0.05833333333333333,0.17947710508581735
Popularity baseline,74,harvard-edge/cs249r_book,506,0.3,0.005928853754940711,0.09940476190476191,0.25284102718517737
Popularity baseline,82,MLEveryday/100-Days-Of-ML-Code,666,0.2,0.003003003003003003,0.05833333333333333,0.17947710508581735
Popularity baseline,92,AccumulateMore/CV,1086,0.6,0.0055248618784530384,0.34630952380952384,0.5337225282363589
Popularity baseline,93,EthicalML/awesome-production-machine-learning,487,0.3,0.006160164271047228,0.09940476190476191,0.25284102718517737
Popularity baseline,98,afshinea/stanford-cs-229-machine-learning,462,0.2,0.004329004329004329,0.05833333333333333,0.17947710508581735
Popularity baseline,107,arc53/DocsGPT,911,0.8,0.008781558726673985,0.5758730158730159,0.7015099647232446
Popularity baseline,113,microsoft/CNTK,615,0.2,0.0032520325203252032,0.05833333333333333,0.17947710508581735
Popularity baseline,115,NVlabs/instant-ngp,207,0.1,0.004830917874396135,0.03333333333333333,0.11004588314904008
Popularity baseline,129,ramitsurana/awesome-kubernetes,753,0.3,0.00398406374501992,0.09940476190476191,0.25284102718517737
Popularity baseline,131,kubeflow/kubeflow,157,0.1,0.006369426751592357,0.03333333333333333,0.11004588314904008
Popularity baseline,156,visenger/awesome-mlops,263,0.2,0.0076045627376425855,0.06190476190476191,0.18340980524840012
Popularity baseline,163,DataTalksClub/machine-learning-zoomcamp,311,0.2,0.006430868167202572,0.05833333333333333,0.17947710508581735
Popularity baseline,175,diff-usion/Awesome-Diffusion-Models,157,0.1,0.006369426751592357,0.014285714285714285,0.07336392209936005
Popularity baseline,182,apple/turicreate,556,0.2,0.0035971223021582736,0.05833333333333333,0.17947710508581735
Popularity baseline,197,autogluon/autogluon,1037,0.3,0.0028929604628736743,0.12083333333333332,0.2742654694553681
Popularity baseline,198,timzhang642/3D-Machine-Learning,752,0.3,0.003989361702127659,0.09940476190476191,0.25284102718517737
Popularity baseline,210,huggingface/diffusers,392,0.2,0.00510204081632653,0.05,0.16421958630632802
Popularity baseline,217,WZMIAOMIAO/deep-learning-for-image-processing,462,0.2,0.004329004329004329,0.05,0.16421958630632802
Popularity baseline,218,junyanz/pytorch-CycleGAN-and-pix2pix,512,0.2,0.00390625,0.05,0.16421958630632802
Popularity baseline,226,camel-ai/camel,270,0.1,0.003703703703703704,0.0125,0.06943122193677727
Popularity baseline,232,cmusatyalab/openface,914,0.3,0.0032822757111597373,0.12083333333333332,0.2742654694553681
Popularity baseline,234,NVIDIA/DeepLearningExamples,789,0.3,0.0038022813688212928,0.12083333333333332,0.2742654694553681
Popularity baseline,236,BlinkDL/RWKV-LM,528,0.4,0.007575757575757576,0.13551587301587303,0.3038377318600772
Popularity baseline,239,carla-simulator/carla,409,0.3,0.007334963325183374,0.14285714285714285,0.30701473034246535
