src,dst,weight
tensorflow/tensorflow,pytorch/pytorch,4
tensorflow/tensorflow,keras-team/keras,4
tensorflow/tensorflow,aymericdamien/TensorFlow-Examples,4
tensorflow/tensorflow,ray-project/ray,5
tensorflow/tensorflow,roboflow/supervision,4
tensorflow/tensorflow,explosion/spaCy,4
tensorflow/tensorflow,lutzroeder/netron,5
tensorflow/tensorflow,donnemartin/data-science-ipython-notebooks,4
tensorflow/tensorflow,d2l-ai/d2l-en,4
tensorflow/tensorflow,ageron/handson-ml,7
tensorflow/tensorflow,PaddlePaddle/Paddle,4
tensorflow/tensorflow,lukasmasuch/best-of-ml-python,5
tensorflow/tensorflow,MLEveryday/100-Days-Of-ML-Code,4
tensorflow/tensorflow,onnx/onnx,6
tensorflow/tensorflow,ujjwalkarn/Machine-Learning-Tutorials,4
tensorflow/tensorflow,microsoft/CNTK,6
tensorflow/tensorflow,bharathgs/Awesome-pytorch-list,4
tensorflow/tensorflow,microsoft/nni,6
tensorflow/tensorflow,tangyudi/Ai-Learn,4
tensorflow/tensorflow,MorvanZhou/tutorials,4
tensorflow/tensorflow,ludwig-ai/ludwig,4
tensorflow/tensorflow,tensorzero/tensorzero,4
tensorflow/tensorflow,kornia/kornia,4
tensorflow/tensorflow,chiphuyen/stanford-tensorflow-tutorials,4
tensorflow/tensorflow,satellite-image-deep-learning/techniques,4
tensorflow/tensorflow,tflearn/tflearn,4
tensorflow/tensorflow,deeppavlov/DeepPavlov,4
tensorflow/tensorflow,dragen1860/TensorFlow-2.x-Tutorials,4
tensorflow/tensorflow,Nyandwi/machine_learning_complete,4
tensorflow/tensorflow,Moataz-Elmesmary/Data-Science-Roadmap,4
tensorflow/tensorflow,ml-tooling/ml-workspace,4
tensorflow/tensorflow,jaymody/picoGPT,4
tensorflow/tensorflow,explosion/thinc,4
tensorflow/tensorflow,github/CodeSearchNet,5
tensorflow/tensorflow,idealo/image-super-resolution,4
tensorflow/tensorflow,astorfi/TensorFlow-World,5
