repo_idx,nombre,stars,weighted_degree,pagerank,betweenness,rank_pagerank,rank_stars
4,rasbt/LLMs-from-scratch,91729,1327,0.005068610057639762,0.0543851406414586,1,7
180,tensorzero/tensorzero,11289,1176,0.004339351587372815,0.03422431126985167,2,58
58,d2l-ai/d2l-en,28729,1331,0.004037018625422297,0.010659709856925804,3,25
124,bharathgs/Awesome-pytorch-list,16486,1269,0.00403156377326537,0.009502557477253244,4,41
87,huggingface/datasets,21469,1198,0.003896503093331249,0.019558873038112143,5,35
411,explosion/thinc,2891,1214,0.0037309823665298515,0.011666730936480123,6,127
34,roboflow/supervision,38259,1090,0.003653300286720701,0.009849646579879369,7,17
76,lukasmasuch/best-of-ml-python,23453,1195,0.003600675995736941,0.007981659804302469,8,30
164,tangyudi/Ai-Learn,12946,1180,0.0035539343022425647,0.008822853687215318,9,49
551,catalyst-team/catalyst,3376,1072,0.0035357016804560782,0.008649394193943285,10,117
335,rohitg00/ai-engineering-from-scratch,5834,1067,0.0035281647142829577,0.03429192779669949,11,88
70,deepset-ai/haystack,25024,958,0.0035117280166285024,0.010622121284260466,12,28
44,explosion/spaCy,33528,1076,0.0034705275726379047,0.006371621806623496,13,18
788,teddylee777/machine-learning,2835,1043,0.003398140176059723,0.0054281841560386065,14,131
2130,ayoolaolafenwa/PixelLib,1072,941,0.0033254403452322406,0.004942617760396493,15,180
